high: 1212.870000, low: 1128.020000
high: 1186.540000, low: 1082.270000
high: 1121.000000, low: 1049.020000
high: 1068.000000, low: 1005.000000
high: 1041.520000, low: 842.980000
high: 905.990000, low: 853.950000
high: 909.710000, low: 845.560000
high: 928.000000, low: 875.610000
high: 910.840000, low: 847.220000
high: 920.600000, low: 816.360000
high: 827.640000, low: 761.260000
high: 844.000000, low: 793.300000
high: 808.970000, low: 758.100000
high: 760.950000, low: 695.520000
high: 729.100000, low: 682.330000
high: 699.220000, low: 636.000000
high: 774.380000, low: 669.700000
high: 764.890000, low: 673.500000
high: 688.990000, low: 623.410000
high: 642.600000, low: 562.090000
high: 587.890000, low: 556.520000
high: 637.850000, low: 579.000000
high: 653.140000, low: 590.200000
high: 658.590000, low: 593.840000
high: 625.600000, low: 579.140000
high: 670.250000, low: 564.550000
high: 646.760000, low: 599.000000
high: 618.300000, low: 561.330000
high: 602.700000, low: 480.600000
high: 558.520000, low: 510.500000
high: 615.500000, low: 490.860000
high: 627.500000, low: 506.380000
high: 533.200000, low: 473.020000
high: 545.730000, low: 513.400000
high: 595.190000, low: 519.000000
high: 619.220000, low: 551.280000
high: 631.180000, low: 601.350000
high: 642.960000, low: 595.550000
high: 607.000000, low: 562.400000
high: 630.850000, low: 553.310000
high: 624.740000, low: 518.850000
high: 536.850000, low: 452.500000
high: 508.600000, low: 447.650000
high: 497.500000, low: 433.630000
high: 509.250000, low: 444.720000
high: 532.920000, low: 460.000000
high: 597.840000, low: 521.030000
high: 588.280000, low: 527.740000
high: 547.500000, low: 520.000000
high: 629.510000, low: 525.610000
high: 625.990000, low: 579.180000
high: 587.060000, low: 528.240000
high: 561.640000, low: 482.600000
high: 507.000000, low: 452.590000
high: 474.350000, low: 438.560000
high: 452.700000, low: 395.980000
high: 447.340000, low: 401.890000
high: 417.230000, low: 384.690000
high: 403.750000, low: 340.610000
high: 359.160000, low: 289.450000
high: 381.000000, low: 329.550000
high: 352.330000, low: 282.750000
high: 329.500000, low: 262.580000
high: 372.360000, low: 247.300000
high: 416.980000, low: 309.440000
high: 482.180000, low: 380.710000
high: 510.660000, low: 461.900000
high: 555.680000, low: 465.600000
high: 588.040000, low: 515.090000
high: 602.450000, low: 537.810000
high: 584.860000, low: 441.000000
high: 472.720000, low: 412.110000
high: 541.040000, low: 446.850000
high: 697.370000, low: 519.000000
high: 724.800000, low: 652.500000
high: 747.240000, low: 616.020000
high: 707.000000, low: 569.610000
high: 571.790000, low: 510.880000
high: 526.820000, low: 480.460000
high: 558.580000, low: 498.880000
high: 534.990000, low: 497.590000
high: 508.780000, low: 457.410000
high: 492.500000, low: 452.120000
high: 466.000000, low: 437.000000
high: 506.010000, low: 443.040000
high: 513.000000, low: 461.110000
high: 492.400000, low: 452.340000
high: 513.000000, low: 465.060000
high: 491.960000, low: 398.190000
high: 418.690000, low: 376.720000
high: 390.000000, low: 363.360000
high: 427.890000, low: 377.690000
high: 419.330000, low: 371.600000
high: 419.440000, low: 360.570000
high: 450.720000, low: 387.930000
high: 399.000000, low: 331.550000
high: 406.500000, low: 337.830000
high: 475.110000, low: 394.740000
